2023-12-01 00:35:39.674 | INFO     | scheduler.direction_update:update:31 - Старт проверки цен
2023-12-01 00:35:40.081 | INFO     | avia_bot.service:start_bot:47 - The bot is running!
2023-12-01 00:35:42.141 | INFO     | database.mysqldb:update_max_price:149 - Обновление максимальной цены билета 1 - LCA
2023-12-01 00:35:42.219 | INFO     | scheduler.direction_update:checking_update:158 - Критическое уменьшение цены билета 1 - LCA : 12258.0 < 22258.0 and 44.92766645700422 >= 20
2023-12-01 00:36:05.291 | INFO     | scheduler.direction_update:checking_update:225 - Незначительное увеличение цены билета 5 - DPS : 32310.0 > 32228.0 and 0.2537913958526772 <= 10 and 18.03.2024 == 18.03.2024
2023-12-01 00:36:09.251 | INFO     | scheduler.direction_update:checking_update:225 - Незначительное увеличение цены билета 6 - ROM : 10377.0 > 9979.0 and 3.835405223089525 <= 10 and 04.12.2023 == 04.12.2023
2023-12-01 00:36:11.697 | ERROR    | avia_api.adapter:get_ticket:49 - Нет билетов на MOW - AUH : {'data': [], 'currency': 'rub', 'success': True}
2023-12-01 00:36:12.854 | ERROR    | avia_api.adapter:get_ticket:49 - Нет билетов на MOW - DXB : {'data': [], 'currency': 'rub', 'success': True}
2023-12-01 00:36:15.338 | ERROR    | avia_api.adapter:get_ticket:49 - Нет билетов на MOW - AAN : {'data': [], 'currency': 'rub', 'success': True}
2023-12-01 00:36:17.823 | ERROR    | avia_api.adapter:get_ticket:49 - Нет билетов на MOW - FJR : {'data': [], 'currency': 'rub', 'success': True}
2023-12-01 00:36:29.419 | ERROR    | avia_api.adapter:get_ticket:49 - Нет билетов на DME - LED : {'data': [], 'currency': 'rub', 'success': True}
2023-12-01 00:36:34.739 | INFO     | scheduler.direction_update:checking_update:191 - Незначительное уменьшение цены билета 14 - UTP : 0.33903301886792453 <= 10 and 03.12.2023 == 03.12.2023
2023-12-01 00:36:42.463 | INFO     | scheduler.direction_update:checking_update:191 - Незначительное уменьшение цены билета 17 - SYD : 0.06060055146501833 <= 10 and 05.12.2023 == 05.12.2023
2023-12-01 00:36:43.926 | INFO     | scheduler.direction_update:checking_update:122 - Превышение максимальной цена, обновление БД 18 - AKL : 46050.0 >= 45000
2023-12-01 00:36:45.423 | INFO     | scheduler.direction_update:checking_update:191 - Незначительное уменьшение цены билета 19 - TBS : 0.013460761879122358 <= 10 and 12.12.2023 == 12.12.2023
